Favor_Team,Against_Team,year,Scored_goals,Conceded_goals
China,Norway,1991,4,0
Norway,United States,1991,1,2
Sweden,Germany,1991,4,0
Germany,United States,1991,2,5
Sweden,Norway,1991,1,4
United States,Chinese Taipei,1991,7,0
Norway,Italy,1991,3,2
Denmark,Germany,1991,1,2
Italy,Germany,1991,0,2
Chinese Taipei,Nigeria,1991,2,0
Chinese Taipei,Germany,1991,0,3
Italy,Nigeria,1991,1,0
Chinese Taipei,Italy,1991,0,5
China,Sweden,1991,0,1
Brazil,Sweden,1991,0,2
Germany,Nigeria,1991,4,0
Denmark,New Zealand,1991,3,0
Norway,New Zealand,1991,4,0
China,Denmark,1991,2,2
Norway,Denmark,1991,2,1
China,New Zealand,1991,4,1
Sweden,United States,1991,2,3
Japan,Sweden,1991,0,8
Brazil,United States,1991,0,5
Japan,United States,1991,0,3
Japan,Brazil,1991,0,1
China,Australia,1995,4,2
Japan,United States,1995,0,4
United States,Australia,1995,4,1
China,Denmark,1995,3,1
Norway,Denmark,1995,3,1
Germany,Norway,1995,0,2
Sweden,China,1995,1,1
United States,Norway,1995,0,1
Germany,China,1995,1,0
China,United States,1995,0,2
United States,Denmark,1995,2,0
Germany,England,1995,3,0
Denmark,Australia,1995,5,0
England,Canada,1995,3,2
Nigeria,England,1995,2,3
United States,China,1995,3,3
Germany,Japan,1995,1,0
Sweden,Brazil,1995,0,1
Brazil,Japan,1995,1,2
Sweden,Japan,1995,2,0
Sweden,Germany,1995,3,2
Norway,Nigeria,1995,8,0
Norway,England,1995,2,0
Nigeria,Canada,1995,3,3
Norway,Canada,1995,7,0
Brazil,Germany,1995,1,6
China,Sweden,1999,2,1
Ghana,Sweden,1999,0,2
Australia,Ghana,1999,1,1
Australia,Sweden,1999,1,3
China,Ghana,1999,7,0
China,Australia,1999,3,1
China,Russia,1999,2,0
Brazil,Norway,1999,0,0
United States,Germany,1999,3,2
Brazil,Nigeria,1999,4,3
United States,Brazil,1999,2,0
Norway,China,1999,0,5
United States,China,1999,0,0
Norway,Japan,1999,4,0
Norway,Sweden,1999,3,1
Canada,Russia,1999,1,4
Norway,Russia,1999,2,1
Norway,Canada,1999,7,1
United States,Denmark,1999,3,0
North Korea,Nigeria,1999,1,2
United States,Nigeria,1999,7,1
North Korea,Denmark,1999,3,1
Nigeria,Denmark,1999,2,0
United States,North Korea,1999,3,0
Brazil,Mexico,1999,7,1
Japan,Russia,1999,0,5
Brazil,Italy,1999,2,0
Germany,Mexico,1999,6,0
Germany,Brazil,1999,3,3
Mexico,Italy,1999,0,2
Japan,Canada,1999,1,1
Germany,Italy,1999,1,1
Argentina,Germany,2003,1,6
Australia,Russia,2003,1,2
China,Ghana,2003,1,0
Ghana,Russia,2003,0,3
China,Australia,2003,1,1
Ghana,Australia,2003,2,1
China,Russia,2003,1,0
Germany,Russia,2003,7,1
United States,Norway,2003,1,0
China,Canada,2003,0,1
United States,Germany,2003,0,3
Sweden,Canada,2003,2,1
Canada,Japan,2003,3,1
Germany,Sweden,2003,2,1
Brazil,Sweden,2003,1,2
United States,Canada,2003,3,1
Canada,Argentina,2003,3,0
Japan,Argentina,2003,6,0
Germany,Japan,2003,3,0
Nigeria,North Korea,2003,0,3
United States,Sweden,2003,3,1
Sweden,North Korea,2003,1,0
Sweden,Nigeria,2003,3,0
North Korea,United States,2003,0,3
United States,Nigeria,2003,5,0
Brazil,South Korea,2003,3,0
Norway,Brazil,2003,1,4
France,South Korea,2003,1,0
South Korea,Norway,2003,1,7
France,Brazil,2003,1,1
Germany,Canada,2003,4,1
Norway,France,2003,2,0
China,New Zealand,2007,2,0
