home,score,away,year
China ,4–0, Norway,1991
Denmark ,3–0, New Zealand,1991
Norway ,4–0, New Zealand,1991
China ,2–2, Denmark,1991
China ,4–1, New Zealand,1991
Norway ,2–1, Denmark,1991
Japan ,0–1, Brazil,1991
Sweden ,2–3, United States,1991
Japan ,0–8, Sweden,1991
Brazil ,0–5, United States,1991
Japan ,0–3, United States,1991
Brazil ,0–2, Sweden,1991
Germany ,4–0, Nigeria,1991
Chinese Taipei ,0–5, Italy,1991
Italy ,1–0, Nigeria,1991
Chinese Taipei ,0–3, Germany,1991
Chinese Taipei ,2–0, Nigeria,1991
Italy ,0–2, Germany,1991
Denmark ,1–2 (a.e.t.), Germany,1991
China ,0–1, Sweden,1991
Norway ,3–2 (a.e.t.), Italy,1991
United States ,7–0, Chinese Taipei,1991
Sweden ,1–4, Norway,1991
Germany ,2–5, United States,1991
Sweden ,4–0, Germany,1991
Norway ,1–2, United States,1991
Germany ,1–0, Japan,1995
Sweden ,0–1, Brazil,1995
Sweden ,3–2, Germany,1995
Brazil ,1–2, Japan,1995
Sweden ,2–0, Japan,1995
Brazil ,1–6, Germany,1995
Norway ,8–0, Nigeria,1995
England ,3–2, Canada,1995
Norway ,2–0, England,1995
Nigeria ,3–3, Canada,1995
Norway ,7–0, Canada,1995
Nigeria ,2–3, England,1995
United States ,3–3, China,1995
Denmark ,5–0, Australia,1995
United States ,2–0, Denmark,1995
China ,4–2, Australia,1995
United States ,4–1, Australia,1995
China ,3–1, Denmark,1995
Japan ,0–4, United States,1995
Norway ,3–1, Denmark,1995
Germany ,3–0, England,1995
Sweden ,1–1 (a.e.t.), China,1995
United States ,0–1, Norway,1995
Germany ,1–0, China,1995
China ,0–2, United States,1995
Germany ,0–2, Norway,1995
United States ,3–0, Denmark,1999
North Korea ,1–2, Nigeria,1999
United States ,7–1, Nigeria,1999
North Korea ,3–1, Denmark,1999
Nigeria ,2–0, Denmark,1999
United States ,3–0, North Korea,1999
Brazil ,7–1, Mexico,1999
Germany ,1–1, Italy,1999
Brazil ,2–0, Italy,1999
Germany ,6–0, Mexico,1999
Germany ,3–3, Brazil,1999
Mexico ,0–2, Italy,1999
Japan ,1–1, Canada,1999
Norway ,2–1, Russia,1999
Norway ,7–1, Canada,1999
Japan ,0–5, Russia,1999
Canada ,1–4, Russia,1999
Norway ,4–0, Japan,1999
China ,2–1, Sweden,1999
Australia ,1–1, Ghana,1999
Australia ,1–3, Sweden,1999
China ,7–0, Ghana,1999
China ,3–1, Australia,1999
Ghana ,0–2, Sweden,1999
China ,2–0, Russia,1999
Norway ,3–1, Sweden,1999
United States ,3–2, Germany,1999
Brazil ,4–3 (a.e.t./g.g.), Nigeria,1999
United States ,2–0, Brazil,1999
Norway ,0–5, China,1999
